Ticker,Ticker2,Correlation,,,,,,,,,,
TECHM,NESTLEIND,-5.84%,,,,,,,,,,
TITAN,NESTLEIND,64.44%,,,,,,,,,,
TRENT,NESTLEIND,8.11%,,,,,,,,,,
ULTRACEMCO,NESTLEIND,32.19%,,,,,,,,,,
WIPRO,NESTLEIND,17.58%,,,,,,,,,,
ADANIENT,NTPC,68.46%,,,,,,,,,,
ADANIPORTS,NTPC,92.79%,,,,,,,,,,
APOLLOHOSP,NTPC,90.10%,,,,,,,,,,
ASIANPAINT,NTPC,-14.79%,,,,,,,,,,
AXISBANK,NTPC,76.91%,,,,,,,,,,
BAJAJ-AUTO,NTPC,95.63%,,,,,,,,,,
BAJAJFINSV,NTPC,45.97%,,,,,,,,,,
BAJFINANCE,NTPC,-40.01%,,,,,,,,,,
BEL,NTPC,90.60%,,,,,,,,,,
BHARTIARTL,NTPC,94.01%,,,,,,,,,,
BPCL,NTPC,94.07%,,,,,,,,,,
BRITANNIA,NTPC,84.54%,,,,,,,,,,
CIPLA,NTPC,92.24%,,,,,,,,,,
COALINDIA,NTPC,92.59%,,,,,,,,,,
DRREDDY,NTPC,87.18%,,,,,,,,,,
EICHERMOT,NTPC,88.05%,,,,,,,,,,
GRASIM,NTPC,92.65%,,,,,,,,,,
HCLTECH,NTPC,75.87%,,,,,,,,,,
HDFCBANK,NTPC,50.43%,,,,,,,,,,
HDFCLIFE,NTPC,41.45%,,,,,,,,,,
HEROMOTOCO,NTPC,91.32%,,,,,,,,,,
HINDALCO,NTPC,89.05%,,,,,,,,,,
HINDUNILVR,NTPC,41.82%,,,,,,,,,,
ICICIBANK,NTPC,92.96%,,,,,,,,,,
INDUSINDBK,NTPC,-38.34%,,,,,,,,,,
INFY,NTPC,75.03%,,,,,,,,,,
ITC,NTPC,55.76%,,,,,,,,,,
JSWSTEEL,NTPC,90.52%,,,,,,,,,,
KOTAKBANK,NTPC,18.60%,,,,,,,,,,
LT,NTPC,78.82%,,,,,,,,,,
M&M,NTPC,89.25%,,,,,,,,,,
MARUTI,NTPC,75.28%,,,,,,,,,,
NESTLEIND,NTPC,24.43%,,,,,,,,,,
NTPC,NTPC,100.00%,,,,,,,,,,
ONGC,NTPC,88.88%,,,,,,,,,,
POWERGRID,NTPC,95.76%,,,,,,,,,,
RELIANCE,NTPC,73.84%,,,,,,,,,,
SBILIFE,NTPC,81.81%,,,,,,,,,,
SBIN,NTPC,88.37%,,,,,,,,,,
SHRIRAMFIN,NTPC,92.33%,,,,,,,,,,
SUNPHARMA,NTPC,94.14%,,,,,,,,,,
TATACONSUM,NTPC,71.62%,,,,,,,,,,
TATAMOTORS,NTPC,80.45%,,,,,,,,,,
TATASTEEL,NTPC,73.96%,,,,,,,,,,
TCS,NTPC,84.54%,,,,,,,,,,
TECHM,NTPC,82.75%,,,,,,,,,,
TITAN,NTPC,16.43%,,,,,,,,,,
TRENT,NTPC,92.53%,,,,,,,,,,
ULTRACEMCO,NTPC,90.19%,,,,,,,,,,
WIPRO,NTPC,83.87%,,,,,,,,,,
ADANIENT,ONGC,70.52%,,,,,,,,,,
ADANIPORTS,ONGC,93.30%,,,,,,,,,,
APOLLOHOSP,ONGC,79.55%,,,,,,,,,,
ASIANPAINT,ONGC,-23.96%,,,,,,,,,,
AXISBANK,ONGC,66.40%,,,,,,,,,,
BAJAJ-AUTO,ONGC,85.04%,,,,,,,,,,
BAJAJFINSV,ONGC,18.26%,,,,,,,,,,
BAJFINANCE,ONGC,-53.17%,,,,,,,,,,
BEL,ONGC,85.07%,,,,,,,,,,
BHARTIARTL,ONGC,79.15%,,,,,,,,,,
BPCL,ONGC,93.27%,,,,,,,,,,
BRITANNIA,ONGC,71.03%,,,,,,,,,,
CIPLA,ONGC,88.40%,,,,,,,,,,
COALINDIA,ONGC,96.12%,,,,,,,,,,
DRREDDY,ONGC,90.50%,,,,,,,,,,
EICHERMOT,ONGC,77.03%,,,,,,,,,,
GRASIM,ONGC,84.96%,,,,,,,,,,
HCLTECH,ONGC,61.48%,,,,,,,,,,
HDFCBANK,ONGC,19.80%,,,,,,,,,,
HDFCLIFE,ONGC,23.88%,,,,,,,,,,
HEROMOTOCO,ONGC,86.34%,,,,,,,,,,
HINDALCO,ONGC,72.38%,,,,,,,,,,
HINDUNILVR,ONGC,30.10%,,,,,,,,,,
ICICIBANK,ONGC,78.87%,,,,,,,,,,
INDUSINDBK,ONGC,-22.43%,,,,,,,,,,
INFY,ONGC,64.99%,,,,,,,,,,
ITC,ONGC,38.98%,,,,,,,,,,
JSWSTEEL,ONGC,68.04%,,,,,,,,,,
KOTAKBANK,ONGC,3.59%,,,,,,,,,,
LT,ONGC,74.21%,,,,,,,,,,
M&M,ONGC,76.25%,,,,,,,,,,
MARUTI,ONGC,80.67%,,,,,,,,,,
NESTLEIND,ONGC,32.89%,,,,,,,,,,
NTPC,ONGC,88.88%,,,,,,,,,,
ONGC,ONGC,100.00%,,,,,,,,,,
POWERGRID,ONGC,91.84%,,,,,,,,,,
RELIANCE,ONGC,87.47%,,,,,,,,,,
SBILIFE,ONGC,74.59%,,,,,,,,,,
SBIN,ONGC,87.96%,,,,,,,,,,
SHRIRAMFIN,ONGC,78.53%,,,,,,,,,,
SUNPHARMA,ONGC,83.33%,,,,,,,,,,
TATACONSUM,ONGC,83.67%,,,,,,,,,,
TATAMOTORS,ONGC,94.26%,,,,,,,,,,
TATASTEEL,ONGC,73.77%,,,,,,,,,,
TCS,ONGC,86.24%,,,,,,,,,,
TECHM,ONGC,65.39%,,,,,,,,,,
TITAN,ONGC,15.83%,,,,,,,,,,
TRENT,ONGC,76.68%,,,,,,,,,,
ULTRACEMCO,ONGC,79.71%,,,,,,,,,,
WIPRO,ONGC,74.75%,,,,,,,,,,
ADANIENT,POWERGRID,66.21%,,,,,,,,,,
ADANIPORTS,POWERGRID,94.26%,,,,,,,,,,
APOLLOHOSP,POWERGRID,83.09%,,,,,,,,,,
ASIANPAINT,POWERGRID,-26.62%,,,,,,,,,,
AXISBANK,POWERGRID,82.05%,,,,,,,,,,
BAJAJ-AUTO,POWERGRID,93.19%,,,,,,,,,,
BAJAJFINSV,POWERGRID,29.71%,,,,,,,,,,
BAJFINANCE,POWERGRID,-45.47%,,,,,,,,,,
BEL,POWERGRID,95.79%,,,,,,,,,,
BHARTIARTL,POWERGRID,92.22%,,,,,,,,,,
BPCL,POWERGRID,93.46%,,,,,,,,,,
BRITANNIA,POWERGRID,80.23%,,,,,,,,,,
CIPLA,POWERGRID,92.29%,,,,,,,,,,
COALINDIA,POWERGRID,94.92%,,,,,,,,,,
DRREDDY,POWERGRID,85.67%,,,,,,,,,,
EICHERMOT,POWERGRID,91.10%,,,,,,,,,,
GRASIM,POWERGRID,94.61%,,,,,,,,,,
HCLTECH,POWERGRID,65.00%,,,,,,,,,,
HDFCBANK,POWERGRID,43.68%,,,,,,,,,,
HDFCLIFE,POWERGRID,28.81%,,,,,,,,,,
HEROMOTOCO,POWERGRID,93.88%,,,,,,,,,,
HINDALCO,POWERGRID,87.76%,,,,,,,,,,
HINDUNILVR,POWERGRID,36.98%,,,,,,,,,,
ICICIBANK,POWERGRID,92.60%,,,,,,,,,,
INDUSINDBK,POWERGRID,-39.07%,,,,,,,,,,
INFY,POWERGRID,67.65%,,,,,,,,,,
ITC,POWERGRID,45.43%,,,,,,,,,,
JSWSTEEL,POWERGRID,86.28%,,,,,,,,,,
KOTAKBANK,POWERGRID,7.30%,,,,,,,,,,
LT,POWERGRID,74.15%,,,,,,,,,,
M&M,POWERGRID,92.64%,,,,,,,,,,
MARUTI,POWERGRID,81.55%,,,,,,,,,,
NESTLEIND,POWERGRID,23.58%,,,,,,,,,,
NTPC,POWERGRID,95.76%,,,,,,,,,,
ONGC,POWERGRID,91.84%,,,,,,,,,,
POWERGRID,POWERGRID,100.00%,,,,,,,,,,
RELIANCE,POWERGRID,78.98%,,,,,,,,,,
SBILIFE,POWERGRID,75.12%,,,,,,,,,,
SBIN,POWERGRID,94.46%,,,,,,,,,,
SHRIRAMFIN,POWERGRID,88.06%,,,,,,,,,,
SUNPHARMA,POWERGRID,88.77%,,,,,,,,,,
TATACONSUM,POWERGRID,70.45%,,,,,,,,,,
TATAMOTORS,POWERGRID,83.99%,,,,,,,,,,
TATASTEEL,POWERGRID,81.00%,,,,,,,,,,
TCS,POWERGRID,81.15%,,,,,,,,,,
TECHM,POWERGRID,77.97%,,,,,,,,,,
TITAN,POWERGRID,2.50%,,,,,,,,,,
TRENT,POWERGRID,88.97%,,,,,,,,,,
ULTRACEMCO,POWERGRID,89.64%,,,,,,,,,,
WIPRO,POWERGRID,80.84%,,,,,,,,,,
ADANIENT,RELIANCE,84.89%,,,,,,,,,,
ADANIPORTS,RELIANCE,89.98%,,,,,,,,,,
APOLLOHOSP,RELIANCE,64.54%,,,,,,,,,,
ASIANPAINT,RELIANCE,-22.15%,,,,,,,,,,
AXISBANK,RELIANCE,64.99%,,,,,,,,,,
BAJAJ-AUTO,RELIANCE,72.84%,,,,,,,,,,
BAJAJFINSV,RELIANCE,4.24%,,,,,,,,,,
BAJFINANCE,RELIANCE,-47.33%,,,,,,,,,,
BEL,RELIANCE,72.35%,,,,,,,,,,
BHARTIARTL,RELIANCE,58.64%,,,,,,,,,,
BPCL,RELIANCE,83.29%,,,,,,,,,,
BRITANNIA,RELIANCE,53.88%,,,,,,,,,,
CIPLA,RELIANCE,75.52%,,,,,,,,,,
COALINDIA,RELIANCE,88.10%,,,,,,,,,,
DRREDDY,RELIANCE,72.86%,,,,,,,,,,
EICHERMOT,RELIANCE,59.83%,,,,,,,,,,
GRASIM,RELIANCE,67.56%,,,,,,,,,,
HCLTECH,RELIANCE,44.42%,,,,,,,,,,
HDFCBANK,RELIANCE,3.06%,,,,,,,,,,
HDFCLIFE,RELIANCE,-8.43%,,,,,,,,,,
HEROMOTOCO,RELIANCE,82.77%,,,,,,,,,,
HINDALCO,RELIANCE,60.43%,,,,,,,,,,
HINDUNILVR,RELIANCE,8.67%,,,,,,,,,,
ICICIBANK,RELIANCE,61.18%,,,,,,,,,,
INDUSINDBK,RELIANCE,10.93%,,,,,,,,,,
INFY,RELIANCE,40.76%,,,,,,,,,,
ITC,RELIANCE,8.24%,,,,,,,,,,
JSWSTEEL,RELIANCE,51.81%,,,,,,,,,,
KOTAKBANK,RELIANCE,7.44%,,,,,,,,,,
LT,RELIANCE,79.15%,,,,,,,,,,
M&M,RELIANCE,56.67%,,,,,,,,,,
MARUTI,RELIANCE,74.09%,,,,,,,,,,
NESTLEIND,RELIANCE,55.81%,,,,,,,,,,
NTPC,RELIANCE,73.84%,,,,,,,,,,
ONGC,RELIANCE,87.47%,,,,,,,,,,
POWERGRID,RELIANCE,78.98%,,,,,,,,,,
RELIANCE,RELIANCE,100.00%,,,,,,,,,,
SBILIFE,RELIANCE,51.64%,,,,,,,,,,
SBIN,RELIANCE,80.12%,,,,,,,,,,
SHRIRAMFIN,RELIANCE,58.58%,,,,,,,,,,
SUNPHARMA,RELIANCE,63.22%,,,,,,,,,,
TATACONSUM,RELIANCE,88.95%,,,,,,,,,,
TATAMOTORS,RELIANCE,93.73%,,,,,,,,,,
TATASTEEL,RELIANCE,80.26%,,,,,,,,,,
TCS,RELIANCE,71.92%,,,,,,,,,,
TECHM,RELIANCE,39.06%,,,,,,,,,,
TITAN,RELIANCE,35.75%,,,,,,,,,,
TRENT,RELIANCE,53.53%,,,,,,,,,,
ULTRACEMCO,RELIANCE,69.01%,,,,,,,,,,
WIPRO,RELIANCE,66.69%,,,,,,,,,,
ADANIENT,SBILIFE,37.91%,,,,,,,,,,
ADANIPORTS,SBILIFE,68.17%,,,,,,,,,,
APOLLOHOSP,SBILIFE,81.73%,,,,,,,,,,
ASIANPAINT,SBILIFE,20.67%,,,,,,,,,,
AXISBANK,SBILIFE,60.09%,,,,,,,,,,
BAJAJ-AUTO,SBILIFE,82.18%,,,,,,,,,,
BAJAJFINSV,SBILIFE,68.90%,,,,,,,,,,
BAJFINANCE,SBILIFE,-15.41%,,,,,,,,,,
BEL,SBILIFE,68.24%,,,,,,,,,,
BHARTIARTL,SBILIFE,81.09%,,,,,,,,,,
BPCL,SBILIFE,76.38%,,,,,,,,,,
BRITANNIA,SBILIFE,86.18%,,,,,,,,,,
CIPLA,SBILIFE,81.75%,,,,,,,,,,
COALINDIA,SBILIFE,72.80%,,,,,,,,,,
DRREDDY,SBILIFE,87.02%,,,,,,,,,,
EICHERMOT,SBILIFE,69.08%,,,,,,,,,,
GRASIM,SBILIFE,81.32%,,,,,,,,,,
HCLTECH,SBILIFE,78.70%,,,,,,,,,,
HDFCBANK,SBILIFE,53.32%,,,,,,,,,,
HDFCLIFE,SBILIFE,74.45%,,,,,,,,,,
HEROMOTOCO,SBILIFE,73.29%,,,,,,,,,,
HINDALCO,SBILIFE,66.22%,,,,,,,,,,
HINDUNILVR,SBILIFE,73.65%,,,,,,,,,,
ICICIBANK,SBILIFE,79.38%,,,,,,,,,,
INDUSINDBK,SBILIFE,-31.13%,,,,,,,,,,
INFY,SBILIFE,88.08%,,,,,,,,,,
ITC,SBILIFE,78.55%,,,,,,,,,,
JSWSTEEL,SBILIFE,74.18%,,,,,,,,,,
KOTAKBANK,SBILIFE,38.35%,,,,,,,,,,
LT,SBILIFE,56.42%,,,,,,,,,,
M&M,SBILIFE,73.21%,,,,,,,,,,
MARUTI,SBILIFE,55.26%,,,,,,,,,,
NESTLEIND,SBILIFE,28.33%,,,,,,,,,,
NTPC,SBILIFE,81.81%,,,,,,,,,,
ONGC,SBILIFE,74.59%,,,,,,,,,,
POWERGRID,SBILIFE,75.12%,,,,,,,,,,
RELIANCE,SBILIFE,51.64%,,,,,,,,,,
SBILIFE,SBILIFE,100.00%,,,,,,,,,,
SBIN,SBILIFE,58.17%,,,,,,,,,,
SHRIRAMFIN,SBILIFE,89.63%,,,,,,,,,,
SUNPHARMA,SBILIFE,85.61%,,,,,,,,,,
TATACONSUM,SBILIFE,63.60%,,,,,,,,,,
TATAMOTORS,SBILIFE,62.32%,,,,,,,,,,
TATASTEEL,SBILIFE,36.47%,,,,,,,,,,
TCS,SBILIFE,85.98%,,,,,,,,,,
TECHM,SBILIFE,83.30%,,,,,,,,,,
TITAN,SBILIFE,26.87%,,,,,,,,,,
TRENT,SBILIFE,86.46%,,,,,,,,,,
ULTRACEMCO,SBILIFE,80.88%,,,,,,,,,,
WIPRO,SBILIFE,71.77%,,,,,,,,,,
ADANIENT,SBIN,69.99%,,,,,,,,,,
ADANIPORTS,SBIN,92.53%,,,,,,,,,,
APOLLOHOSP,SBIN,73.99%,,,,,,,,,,
ASIANPAINT,SBIN,-42.68%,,,,,,,,,,
AXISBANK,SBIN,77.27%,,,,,,,,,,
BAJAJ-AUTO,SBIN,85.18%,,,,,,,,,,
BAJAJFINSV,SBIN,12.66%,,,,,,,,,,
BAJFINANCE,SBIN,-51.75%,,,,,,,,,,
BEL,SBIN,92.53%,,,,,,,,,,
BHARTIARTL,SBIN,83.20%,,,,,,,,,,
BPCL,SBIN,89.82%,,,,,,,,,,
BRITANNIA,SBIN,64.21%,,,,,,,,,,
CIPLA,SBIN,84.65%,,,,,,,,,,
COALINDIA,SBIN,90.49%,,,,,,,,,,
DRREDDY,SBIN,76.41%,,,,,,,,,,
EICHERMOT,SBIN,86.79%,,,,,,,,,,
GRASIM,SBIN,87.46%,,,,,,,,,,
HCLTECH,SBIN,53.74%,,,,,,,,,,
HDFCBANK,SBIN,32.05%,,,,,,,,,,
HDFCLIFE,SBIN,11.35%,,,,,,,,,,
HEROMOTOCO,SBIN,86.60%,,,,,,,,,,
HINDALCO,SBIN,80.95%,,,,,,,,,,
HINDUNILVR,SBIN,13.55%,,,,,,,,,,
ICICIBANK,SBIN,86.69%,,,,,,,,,,
INDUSINDBK,SBIN,-37.69%,,,,,,,,,,
INFY,SBIN,50.38%,,,,,,,,,,
ITC,SBIN,24.20%,,,,,,,,,,
JSWSTEEL,SBIN,78.27%,,,,,,,,,,
KOTAKBANK,SBIN,-9.50%,,,,,,,,,,
LT,SBIN,74.08%,,,,,,,,,,
M&M,SBIN,86.19%,,,,,,,,,,
MARUTI,SBIN,84.12%,,,,,,,,,,
NESTLEIND,SBIN,17.64%,,,,,,,,,,
NTPC,SBIN,88.37%,,,,,,,,,,
ONGC,SBIN,87.96%,,,,,,,,,,
POWERGRID,SBIN,94.46%,,,,,,,,,,
RELIANCE,SBIN,80.12%,,,,,,,,,,
SBILIFE,SBIN,58.17%,,,,,,,,,,
SBIN,SBIN,100.00%,,,,,,,,,,
SHRIRAMFIN,SBIN,75.03%,,,,,,,,,,
SUNPHARMA,SBIN,80.17%,,,,,,,,,,
TATACONSUM,SBIN,64.10%,,,,,,,,,,
TATAMOTORS,SBIN,84.13%,,,,,,,,,,
TATASTEEL,SBIN,87.72%,,,,,,,,,,
TCS,SBIN,72.25%,,,,,,,,,,
TECHM,SBIN,64.48%,,,,,,,,,,
TITAN,SBIN,-5.38%,,,,,,,,,,
TRENT,SBIN,78.18%,,,,,,,,,,
ULTRACEMCO,SBIN,78.32%,,,,,,,,,,
WIPRO,SBIN,76.21%,,,,,,,,,,
ADANIENT,SHRIRAMFIN,46.94%,,,,,,,,,,
ADANIPORTS,SHRIRAMFIN,79.40%,,,,,,,,,,
APOLLOHOSP,SHRIRAMFIN,90.02%,,,,,,,,,,
ASIANPAINT,SHRIRAMFIN,-3.01%,,,,,,,,,,
AXISBANK,SHRIRAMFIN,74.08%,,,,,,,,,,
BAJAJ-AUTO,SHRIRAMFIN,93.74%,,,,,,,,,,
BAJAJFINSV,SHRIRAMFIN,61.83%,,,,,,,,,,
BAJFINANCE,SHRIRAMFIN,-20.48%,,,,,,,,,,
BEL,SHRIRAMFIN,84.19%,,,,,,,,,,
BHARTIARTL,SHRIRAMFIN,95.68%,,,,,,,,,,
BPCL,SHRIRAMFIN,83.47%,,,,,,,,,,
BRITANNIA,SHRIRAMFIN,88.42%,,,,,,,,,,
CIPLA,SHRIRAMFIN,90.78%,,,,,,,,,,
COALINDIA,SHRIRAMFIN,80.72%,,,,,,,,,,
DRREDDY,SHRIRAMFIN,85.50%,,,,,,,,,,
EICHERMOT,SHRIRAMFIN,81.93%,,,,,,,,,,
GRASIM,SHRIRAMFIN,91.58%,,,,,,,,,,
HCLTECH,SHRIRAMFIN,81.52%,,,,,,,,,,
HDFCBANK,SHRIRAMFIN,60.59%,,,,,,,,,,
HDFCLIFE,SHRIRAMFIN,58.63%,,,,,,,,,,
HEROMOTOCO,SHRIRAMFIN,85.20%,,,,,,,,,,
HINDALCO,SHRIRAMFIN,83.87%,,,,,,,,,,
HINDUNILVR,SHRIRAMFIN,59.43%,,,,,,,,,,
ICICIBANK,SHRIRAMFIN,93.38%,,,,,,,,,,
INDUSINDBK,SHRIRAMFIN,-45.65%,,,,,,,,,,
INFY,SHRIRAMFIN,84.94%,,,,,,,,,,
ITC,SHRIRAMFIN,68.50%,,,,,,,,,,
JSWSTEEL,SHRIRAMFIN,89.50%,,,,,,,,,,
KOTAKBANK,SHRIRAMFIN,28.48%,,,,,,,,,,
LT,SHRIRAMFIN,63.80%,,,,,,,,,,
M&M,SHRIRAMFIN,89.43%,,,,,,,,,,
MARUTI,SHRIRAMFIN,64.23%,,,,,,,,,,
NESTLEIND,SHRIRAMFIN,16.73%,,,,,,,,,,
NTPC,SHRIRAMFIN,92.33%,,,,,,,,,,
ONGC,SHRIRAMFIN,78.53%,,,,,,,,,,
POWERGRID,SHRIRAMFIN,88.06%,,,,,,,,,,
RELIANCE,SHRIRAMFIN,58.58%,,,,,,,,,,
SBILIFE,SHRIRAMFIN,89.63%,,,,,,,,,,
SBIN,SHRIRAMFIN,75.03%,,,,,,,,,,
SHRIRAMFIN,SHRIRAMFIN,100.00%,,,,,,,,,,
SUNPHARMA,SHRIRAMFIN,93.73%,,,,,,,,,,
TATACONSUM,SHRIRAMFIN,59.90%,,,,,,,,,,
TATAMOTORS,SHRIRAMFIN,65.29%,,,,,,,,,,
TATASTEEL,SHRIRAMFIN,57.13%,,,,,,,,,,
TCS,SHRIRAMFIN,81.93%,,,,,,,,,,
TECHM,SHRIRAMFIN,91.44%,,,,,,,,,,
TITAN,SHRIRAMFIN,12.29%,,,,,,,,,,
TRENT,SHRIRAMFIN,97.13%,,,,,,,,,,
ULTRACEMCO,SHRIRAMFIN,88.93%,,,,,,,,,,
WIPRO,SHRIRAMFIN,82.65%,,,,,,,,,,
ADANIENT,SUNPHARMA,55.52%,,,,,,,,,,
ADANIPORTS,SUNPHARMA,83.33%,,,,,,,,,,
APOLLOHOSP,SUNPHARMA,94.80%,,,,,,,,,,
ASIANPAINT,SUNPHARMA,-21.03%,,,,,,,,,,
AXISBANK,SUNPHARMA,62.09%,,,,,,,,,,
BAJAJ-AUTO,SUNPHARMA,94.56%,,,,,,,,,,
BAJAJFINSV,SUNPHARMA,51.85%,,,,,,,,,,
BAJFINANCE,SUNPHARMA,-41.83%,,,,,,,,,,
BEL,SUNPHARMA,80.45%,,,,,,,,,,
BHARTIARTL,SUNPHARMA,93.24%,,,,,,,,,,
BPCL,SUNPHARMA,90.90%,,,,,,,,,,
BRITANNIA,SUNPHARMA,78.52%,,,,,,,,,,
CIPLA,SUNPHARMA,93.42%,,,,,,,,,,
COALINDIA,SUNPHARMA,83.91%,,,,,,,,,,
DRREDDY,SUNPHARMA,88.09%,,,,,,,,,,
EICHERMOT,SUNPHARMA,77.76%,,,,,,,,,,
GRASIM,SUNPHARMA,87.41%,,,,,,,,,,
HCLTECH,SUNPHARMA,87.20%,,,,,,,,,,
HDFCBANK,SUNPHARMA,43.81%,,,,,,,,,,
HDFCLIFE,SUNPHARMA,51.60%,,,,,,,,,,
HEROMOTOCO,SUNPHARMA,83.21%,,,,,,,,,,
HINDALCO,SUNPHARMA,77.80%,,,,,,,,,,
HINDUNILVR,SUNPHARMA,41.06%,,,,,,,,,,
ICICIBANK,SUNPHARMA,91.63%,,,,,,,,,,
INDUSINDBK,SUNPHARMA,-51.29%,,,,,,,,,,
INFY,SUNPHARMA,82.55%,,,,,,,,,,
ITC,SUNPHARMA,56.22%,,,,,,,,,,
JSWSTEEL,SUNPHARMA,84.35%,,,,,,,,,,
KOTAKBANK,SUNPHARMA,14.13%,,,,,,,,,,
LT,SUNPHARMA,68.51%,,,,,,,,,,
M&M,SUNPHARMA,84.12%,,,,,,,,,,
MARUTI,SUNPHARMA,68.25%,,,,,,,,,,
NESTLEIND,SUNPHARMA,13.45%,,,,,,,,,,
NTPC,SUNPHARMA,94.14%,,,,,,,,,,
ONGC,SUNPHARMA,83.33%,,,,,,,,,,
POWERGRID,SUNPHARMA,88.77%,,,,,,,,,,
RELIANCE,SUNPHARMA,63.22%,,,,,,,,,,
SBILIFE,SUNPHARMA,85.61%,,,,,,,,,,
SBIN,SUNPHARMA,80.17%,,,,,,,,,,
SHRIRAMFIN,SUNPHARMA,93.73%,,,,,,,,,,
SUNPHARMA,SUNPHARMA,100.00%,,,,,,,,,,
TATACONSUM,SUNPHARMA,64.76%,,,,,,,,,,
TATAMOTORS,SUNPHARMA,72.72%,,,,,,,,,,
TATASTEEL,SUNPHARMA,58.89%,,,,,,,,,,
TCS,SUNPHARMA,86.86%,,,,,,,,,,
TECHM,SUNPHARMA,86.79%,,,,,,,,,,
TITAN,SUNPHARMA,16.05%,,,,,,,,,,
TRENT,SUNPHARMA,94.46%,,,,,,,,,,
ULTRACEMCO,SUNPHARMA,82.14%,,,,,,,,,,
WIPRO,SUNPHARMA,87.35%,,,,,,,,,,
ADANIENT,TATACONSUM,78.33%,,,,,,,,,,
ADANIPORTS,TATACONSUM,82.31%,,,,,,,,,,
APOLLOHOSP,TATACONSUM,66.89%,,,,,,,,,,
ASIANPAINT,TATACONSUM,-0.56%,,,,,,,,,,
AXISBANK,TATACONSUM,53.11%,,,,,,,,,,
BAJAJ-AUTO,TATACONSUM,71.14%,,,,,,,,,,
BAJAJFINSV,TATACONSUM,19.31%,,,,,,,,,,
BAJFINANCE,TATACONSUM,-42.20%,,,,,,,,,,
BEL,TATACONSUM,60.36%,,,,,,,,,,
BHARTIARTL,TATACONSUM,55.22%,,,,,,,,,,
BPCL,TATACONSUM,79.31%,,,,,,,,,,
BRITANNIA,TATACONSUM,61.41%,,,,,,,,,,
CIPLA,TATACONSUM,75.42%,,,,,,,,,,
COALINDIA,TATACONSUM,82.35%,,,,,,,,,,
DRREDDY,TATACONSUM,75.23%,,,,,,,,,,
EICHERMOT,TATACONSUM,48.87%,,,,,,,,,,
GRASIM,TATACONSUM,60.30%,,,,,,,,,,
HCLTECH,TATACONSUM,54.43%,,,,,,,,,,
HDFCBANK,TATACONSUM,3.08%,,,,,,,,,,
HDFCLIFE,TATACONSUM,7.23%,,,,,,,,,,
HEROMOTOCO,TATACONSUM,77.73%,,,,,,,,,,
HINDALCO,TATACONSUM,52.10%,,,,,,,,,,
HINDUNILVR,TATACONSUM,28.53%,,,,,,,,,,
ICICIBANK,TATACONSUM,53.67%,,,,,,,,,,
INDUSINDBK,TATACONSUM,18.93%,,,,,,,,,,
INFY,TATACONSUM,54.13%,,,,,,,,,,
ITC,TATACONSUM,27.38%,,,,,,,,,,
JSWSTEEL,TATACONSUM,45.18%,,,,,,,,,,
KOTAKBANK,TATACONSUM,19.94%,,,,,,,,,,
LT,TATACONSUM,75.68%,,,,,,,,,,
M&M,TATACONSUM,47.84%,,,,,,,,,,
MARUTI,TATACONSUM,60.32%,,,,,,,,,,
NESTLEIND,TATACONSUM,65.62%,,,,,,,,,,
NTPC,TATACONSUM,71.62%,,,,,,,,,,
ONGC,TATACONSUM,83.67%,,,,,,,,,,
POWERGRID,TATACONSUM,70.45%,,,,,,,,,,
RELIANCE,TATACONSUM,88.95%,,,,,,,,,,
SBILIFE,TATACONSUM,63.60%,,,,,,,,,,
SBIN,TATACONSUM,64.10%,,,,,,,,,,
SHRIRAMFIN,TATACONSUM,59.90%,,,,,,,,,,
SUNPHARMA,TATACONSUM,64.76%,,,,,,,,,,
TATACONSUM,TATACONSUM,100.00%,,,,,,,,,,
TATAMOTORS,TATACONSUM,88.60%,,,,,,,,,,
TATASTEEL,TATACONSUM,60.35%,,,,,,,,,,
TCS,TATACONSUM,79.31%,,,,,,,,,,
TECHM,TATACONSUM,41.86%,,,,,,,,,,
TITAN,TATACONSUM,55.66%,,,,,,,,,,
TRENT,TATACONSUM,52.87%,,,,,,,,,,
ULTRACEMCO,TATACONSUM,66.93%,,,,,,,,,,
WIPRO,TATACONSUM,64.04%,,,,,,,,,,
ADANIENT,TATAMOTORS,78.40%,,,,,,,,,,
ADANIPORTS,TATAMOTORS,91.65%,,,,,,,,,,
APOLLOHOSP,TATAMOTORS,68.80%,,,,,,,,,,
ASIANPAINT,TATAMOTORS,-24.75%,,,,,,,,,,
AXISBANK,TATAMOTORS,59.68%,,,,,,,,,,
BAJAJ-AUTO,TATAMOTORS,78.63%,,,,,,,,,,
BAJAJFINSV,TATAMOTORS,8.81%,,,,,,,,,,
BAJFINANCE,TATAMOTORS,-53.30%,,,,,,,,,,
BEL,TATAMOTORS,76.11%,,,,,,,,,,
BHARTIARTL,TATAMOTORS,66.27%,,,,,,,,,,
BPCL,TATAMOTORS,89.73%,,,,,,,,,,
BRITANNIA,TATAMOTORS,57.84%,,,,,,,,,,
CIPLA,TATAMOTORS,81.19%,,,,,,,,,,
COALINDIA,TATAMOTORS,92.80%,,,,,,,,,,
DRREDDY,TATAMOTORS,81.06%,,,,,,,,,,
EICHERMOT,TATAMOTORS,67.55%,,,,,,,,,,
GRASIM,TATAMOTORS,73.64%,,,,,,,,,,
HCLTECH,TATAMOTORS,48.61%,,,,,,,,,,
