Ticker,Ticker2,Correlation,,,,,,,,,,
AXISBANK,APOLLOHOSP,60.74%,,,,,,,,,,
BAJAJ-AUTO,APOLLOHOSP,89.38%,,,,,,,,,,
BAJAJFINSV,APOLLOHOSP,50.91%,,,,,,,,,,
BAJFINANCE,APOLLOHOSP,-41.09%,,,,,,,,,,
BEL,APOLLOHOSP,75.21%,,,,,,,,,,
BHARTIARTL,APOLLOHOSP,86.55%,,,,,,,,,,
BPCL,APOLLOHOSP,87.27%,,,,,,,,,,
BRITANNIA,APOLLOHOSP,76.19%,,,,,,,,,,
CIPLA,APOLLOHOSP,89.55%,,,,,,,,,,
COALINDIA,APOLLOHOSP,80.01%,,,,,,,,,,
DRREDDY,APOLLOHOSP,85.72%,,,,,,,,,,
EICHERMOT,APOLLOHOSP,72.04%,,,,,,,,,,
GRASIM,APOLLOHOSP,80.74%,,,,,,,,,,
HCLTECH,APOLLOHOSP,91.26%,,,,,,,,,,
HDFCBANK,APOLLOHOSP,42.93%,,,,,,,,,,
HDFCLIFE,APOLLOHOSP,48.37%,,,,,,,,,,
HEROMOTOCO,APOLLOHOSP,81.31%,,,,,,,,,,
HINDALCO,APOLLOHOSP,72.15%,,,,,,,,,,
HINDUNILVR,APOLLOHOSP,38.82%,,,,,,,,,,
ICICIBANK,APOLLOHOSP,85.31%,,,,,,,,,,
INDUSINDBK,APOLLOHOSP,-44.74%,,,,,,,,,,
INFY,APOLLOHOSP,84.32%,,,,,,,,,,
ITC,APOLLOHOSP,53.05%,,,,,,,,,,
JSWSTEEL,APOLLOHOSP,80.01%,,,,,,,,,,
KOTAKBANK,APOLLOHOSP,23.47%,,,,,,,,,,
LT,APOLLOHOSP,71.26%,,,,,,,,,,
M&M,APOLLOHOSP,75.86%,,,,,,,,,,
MARUTI,APOLLOHOSP,56.38%,,,,,,,,,,
NESTLEIND,APOLLOHOSP,16.71%,,,,,,,,,,
NTPC,APOLLOHOSP,90.10%,,,,,,,,,,
ONGC,APOLLOHOSP,79.55%,,,,,,,,,,
POWERGRID,APOLLOHOSP,83.09%,,,,,,,,,,
RELIANCE,APOLLOHOSP,64.54%,,,,,,,,,,
SBILIFE,APOLLOHOSP,81.73%,,,,,,,,,,
SBIN,APOLLOHOSP,73.99%,,,,,,,,,,
SHRIRAMFIN,APOLLOHOSP,90.02%,,,,,,,,,,
SUNPHARMA,APOLLOHOSP,94.80%,,,,,,,,,,
TATACONSUM,APOLLOHOSP,66.89%,,,,,,,,,,
TATAMOTORS,APOLLOHOSP,68.80%,,,,,,,,,,
TATASTEEL,APOLLOHOSP,52.09%,,,,,,,,,,
TCS,APOLLOHOSP,86.19%,,,,,,,,,,
TECHM,APOLLOHOSP,84.99%,,,,,,,,,,
TITAN,APOLLOHOSP,26.89%,,,,,,,,,,
TRENT,APOLLOHOSP,87.76%,,,,,,,,,,
ULTRACEMCO,APOLLOHOSP,83.00%,,,,,,,,,,
WIPRO,APOLLOHOSP,90.69%,,,,,,,,,,
ADANIENT,ASIANPAINT,-18.65%,,,,,,,,,,
ADANIPORTS,ASIANPAINT,-24.65%,,,,,,,,,,
APOLLOHOSP,ASIANPAINT,-15.79%,,,,,,,,,,
ASIANPAINT,ASIANPAINT,100.00%,,,,,,,,,,
AXISBANK,ASIANPAINT,0.10%,,,,,,,,,,
BAJAJ-AUTO,ASIANPAINT,-16.26%,,,,,,,,,,
BAJAJFINSV,ASIANPAINT,46.34%,,,,,,,,,,
BAJFINANCE,ASIANPAINT,60.94%,,,,,,,,,,
BEL,ASIANPAINT,-24.63%,,,,,,,,,,
BHARTIARTL,ASIANPAINT,-17.80%,,,,,,,,,,
BPCL,ASIANPAINT,-25.24%,,,,,,,,,,
BRITANNIA,ASIANPAINT,24.45%,,,,,,,,,,
CIPLA,ASIANPAINT,-20.12%,,,,,,,,,,
COALINDIA,ASIANPAINT,-20.01%,,,,,,,,,,
DRREDDY,ASIANPAINT,-6.65%,,,,,,,,,,
EICHERMOT,ASIANPAINT,-16.65%,,,,,,,,,,
GRASIM,ASIANPAINT,-12.81%,,,,,,,,,,
HCLTECH,ASIANPAINT,-8.41%,,,,,,,,,,
HDFCBANK,ASIANPAINT,29.86%,,,,,,,,,,
HDFCLIFE,ASIANPAINT,38.39%,,,,,,,,,,
HEROMOTOCO,ASIANPAINT,-13.41%,,,,,,,,,,
HINDALCO,ASIANPAINT,-8.31%,,,,,,,,,,
HINDUNILVR,ASIANPAINT,60.97%,,,,,,,,,,
ICICIBANK,ASIANPAINT,-21.15%,,,,,,,,,,
INDUSINDBK,ASIANPAINT,44.20%,,,,,,,,,,
INFY,ASIANPAINT,10.66%,,,,,,,,,,
ITC,ASIANPAINT,46.09%,,,,,,,,,,
JSWSTEEL,ASIANPAINT,-6.02%,,,,,,,,,,
KOTAKBANK,ASIANPAINT,57.56%,,,,,,,,,,
LT,ASIANPAINT,-14.07%,,,,,,,,,,
M&M,ASIANPAINT,-21.24%,,,,,,,,,,
MARUTI,ASIANPAINT,-30.00%,,,,,,,,,,
NESTLEIND,ASIANPAINT,33.24%,,,,,,,,,,
NTPC,ASIANPAINT,-14.79%,,,,,,,,,,
ONGC,ASIANPAINT,-23.96%,,,,,,,,,,
POWERGRID,ASIANPAINT,-26.62%,,,,,,,,,,
RELIANCE,ASIANPAINT,-22.15%,,,,,,,,,,
SBILIFE,ASIANPAINT,20.67%,,,,,,,,,,
SBIN,ASIANPAINT,-42.68%,,,,,,,,,,
SHRIRAMFIN,ASIANPAINT,-3.01%,,,,,,,,,,
SUNPHARMA,ASIANPAINT,-21.03%,,,,,,,,,,
TATACONSUM,ASIANPAINT,-0.56%,,,,,,,,,,
TATAMOTORS,ASIANPAINT,-24.75%,,,,,,,,,,
TATASTEEL,ASIANPAINT,-35.74%,,,,,,,,,,
TCS,ASIANPAINT,-3.84%,,,,,,,,,,
TECHM,ASIANPAINT,-3.09%,,,,,,,,,,
TITAN,ASIANPAINT,37.09%,,,,,,,,,,
TRENT,ASIANPAINT,-9.31%,,,,,,,,,,
ULTRACEMCO,ASIANPAINT,1.74%,,,,,,,,,,
WIPRO,ASIANPAINT,-23.09%,,,,,,,,,,
ADANIENT,AXISBANK,53.70%,,,,,,,,,,
