Ticker,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
BPCL,0.759587108,0.941067849,0.872683539,-0.252439681,0.674179615,0.924263269,0.32378312,-0.553193111,0.839831222,0.84921228,1,0.722938527,0.930965554,0.961071005,0.871425489,0.800623898,0.845459846,0.70819211,0.25346798,0.258440091,0.903493254,0.77548909,0.266086649,0.837609958,-0.280625068,0.666843934,0.357169753,0.773756507,0.028322938,0.767687266,0.79955703,0.805426863,0.299635509,0.940655514,0.932728118,0.934624593,0.832948779,0.763766912,0.898237617,0.834703836,0.909031035,0.793083132,0.89728105,0.767670644,0.860350367,0.697471497,0.235149206,0.838312551,0.805300035,0.807165248
BRITANNIA,0.447274203,0.729383069,0.761879692,0.244527985,0.795816648,0.828766883,0.609396575,-0.099784306,0.796570303,0.856598758,0.722938527,1,0.801906009,0.757286633,0.792852781,0.788223234,0.871175581,0.670267635,0.64984184,0.5806116,0.837022649,0.835778409,0.779082711,0.822625807,-0.280854567,0.808977118,0.78598944,0.840913615,0.446492841,0.584367374,0.830313513,0.550923363,0.329374878,0.845396161,0.710257119,0.80229436,0.538830029,0.861755505,0.642053057,0.884188,0.785200168,0.614076844,0.57843503,0.51148033,0.752601678,0.840976719,0.129958865,0.867508968,0.903761391,0.70394274
CIPLA,0.654769437,0.893969644,0.895505596,-0.201212243,0.695299963,0.951692014,0.406703809,-0.416787367,0.86083389,0.899716584,0.930965554,0.801906009,1,0.906812921,0.876799591,0.785886975,0.869837509,0.769262787,0.355314747,0.363246032,0.916566846,0.782665265,0.413278829,0.875218352,-0.350309097,0.756670773,0.473804081,0.806524007,0.109192666,0.735837219,0.856505849,0.741199759,0.279261473,0.922394819,0.884016179,0.922897718,0.755221677,0.817531322,0.846457512,0.907795386,0.934215085,0.75418792,0.81191877,0.698085296,0.860713068,0.791208913,0.193035494,0.896753906,0.853315898,0.839150032
COALINDIA,0.762159692,0.958840122,0.800067116,-0.20012594,0.737841536,0.896068181,0.229484612,-0.511341485,0.889724887,0.829430424,0.961071005,0.757286633,0.906812921,1,0.866604029,0.827153229,0.863658905,0.598801783,0.266641407,0.201022054,0.929801262,0.814089488,0.312393213,0.808845756,-0.191342253,0.614582462,0.367183725,0.759202267,0.073253518,0.765980175,0.815949229,0.830448927,0.366522508,0.925878076,0.961233551,0.949245776,0.881009119,0.727951278,0.904911048,0.807217661,0.83906309,0.823475516,0.927976699,0.820365239,0.819595812,0.659776551,0.174755879,0.804774286,0.833210413,0.745855108
DRREDDY,0.568855075,0.833251824,0.857217757,-0.066455105,0.643701242,0.834473834,0.376977195,-0.436259087,0.780023793,0.806901571,0.871425489,0.792852781,0.876799591,0.866604029,1,0.712611765,0.859952653,0.766018386,0.375200002,0.505261374,0.79888318,0.676691708,0.50280904,0.811025796,-0.325339462,0.821554322,0.553479512,0.713151025,0.197227436,0.64700243,0.756764622,0.66454218,0.298292812,0.871829443,0.905026117,0.856677518,0.728578241,0.87024735,0.764081207,0.854978507,0.880925178,0.752279585,0.810621715,0.546589294,0.906411251,0.783606567,0.171929476,0.828723832,0.834741711,0.82061188
EICHERMOT,0.480596158,0.809143193,0.720422216,-0.166483957,0.839800586,0.847652447,0.354211702,-0.302316924,0.935374535,0.895839497,0.800623898,0.788223234,0.785886975,0.827153229,0.712611765,1,0.920584307,0.517100608,0.605343226,0.368514031,0.847301875,0.921614063,0.408935637,0.897491488,-0.455100394,0.577518171,0.544744476,0.900316302,0.096989182,0.648590842,0.9324235,0.76250247,0.104985535,0.880530769,0.770343754,0.911030374,0.598326246,0.69078576,0.867922601,0.819345073,0.777550274,0.488714971,0.67552826,0.763391268,0.670131039,0.766645039,-0.112314599,0.864714633,0.844360372,0.66356959
GRASIM,0.507492828,0.859428648,0.807365446,-0.128088457,0.848108109,0.9023198,0.433513116,-0.286397225,0.945538797,0.942273536,0.845459846,0.871175581,0.869837509,0.863658905,0.859952653,0.920584307,1,0.666122788,0.589055981,0.470545707,0.883863982,0.89922156,0.513487567,0.955913902,-0.449165503,0.741712532,0.611981306,0.904123219,0.19974341,0.676804941,0.944944446,0.758344778,0.183711852,0.92651007,0.849622814,0.946082166,0.675604271,0.813189973,0.874564896,0.915779824,0.874052874,0.602998309,0.73639836,0.719675423,0.795975931,0.857916564,-0.033242478,0.924735868,0.92099795,0.795564733
HCLTECH,0.440868865,0.628888616,0.912644575,-0.084115324,0.453107059,0.751969883,0.567612904,-0.345506685,0.566125085,0.745889442,0.70819211,0.670267635,0.769262787,0.598801783,0.766018386,0.517100608,0.666122788,1,0.448172485,0.605480336,0.639240436,0.554933172,0.435688571,0.744021181,-0.478368391,0.911885745,0.55752822,0.68514249,0.324157339,0.580959575,0.610078318,0.306954686,0.079133734,0.758675997,0.614810123,0.650000538,0.444161267,0.787022232,0.53737296,0.81519963,0.872010719,0.544279617,0.486105648,0.253923127,0.826595423,0.852373526,0.305584875,0.796656638,0.728888949,0.898324042
HDFCBANK,0.045732274,0.316019929,0.4292884,0.298623142,0.63465757,0.453886291,0.579713859,0.250851225,0.538497438,0.587043158,0.25346798,0.64984184,0.355314747,0.266641407,0.375200002,0.605343226,0.589055981,0.448172485,1,0.681658777,0.402028776,0.61820798,0.628153286,0.617597244,-0.404551761,0.537633499,0.716868678,0.719489182,0.537957929,0.338492547,0.622529792,0.145320203,-0.021093492,0.504283139,0.198028803,0.43684259,0.030631057,0.533163197,0.320487702,0.60592324,0.438075827,0.030812044,0.061323944,0.19954347,0.334125907,0.691346391,-0.095771242,0.615799872,0.652275113,0.444201893
HDFCLIFE,-0.129851535,0.169770051,0.483689449,0.383915117,0.258352731,0.383915956,0.698351885,0.154158439,0.300118447,0.491453634,0.258440091,0.5806116,0.363246032,0.201022054,0.505261374,0.368514031,0.470545707,0.605480336,0.681658777,1,0.227707931,0.335531416,0.725699469,0.482196073,-0.440421084,0.711427606,0.830369671,0.498023104,0.501864063,0.175702402,0.426239435,0.075543231,-0.093311403,0.414509904,0.238837495,0.288139089,-0.084347347,0.744482885,0.113547986,0.586347967,0.516044396,0.072266408,0.061970927,-0.13537322,0.468249305,0.688322765,0.051089431,0.586530231,0.476096302,0.388382053
HEROMOTOCO,0.722860382,0.927167255,0.813079808,-0.134135613,0.836953152,0.931282081,0.344492716,-0.375013119,0.900283307,0.877966985,0.903493254,0.837022649,0.916566846,0.929801262,0.79888318,0.847301875,0.883863982,0.639240436,0.402028776,0.227707931,1,0.866608733,0.418323665,0.855330999,-0.206608699,0.66296092,0.428718833,0.823898393,0.185067113,0.770671832,0.866277164,0.759388147,0.383462752,0.913163997,0.863440534,0.938814178,0.827731905,0.732863672,0.865972459,0.852039582,0.832084524,0.777315565,0.828669855,0.806488828,0.796915181,0.733193125,0.200300446,0.842414092,0.901778733,0.789781694
HINDALCO,0.538512728,0.804026435,0.721500782,-0.08313927,0.834663521,0.868757341,0.447122055,-0.201774656,0.904585462,0.907002238,0.77548909,0.835778409,0.782665265,0.814089488,0.676691708,0.921614063,0.89922156,0.554933172,0.61820798,0.335531416,0.866608733,1,0.434344166,0.873723332,-0.355303261,0.593837437,0.558062976,0.937846304,0.225822441,0.674372498,0.907417299,0.708323513,0.185538797,0.890520022,0.723790332,0.877640712,0.604286109,0.662237475,0.809466045,0.838738911,0.777966958,0.521039157,0.638470762,0.774772774,0.639324744,0.7714677,-0.011418768,0.871178042,0.853077177,0.678849954
HINDUNILVR,-0.023991323,0.23891257,0.38817311,0.609737065,0.474329996,0.424006715,0.643658245,0.279955433,0.382344935,0.489788508,0.266086649,0.779082711,0.413278829,0.312393213,0.50280904,0.408935637,0.513487567,0.435688571,0.628153286,0.725699469,0.418323665,0.434344166,1,0.442539215,-0.139255654,0.700211367,0.860710263,0.491783236,0.575759665,0.14653055,0.488348351,0.143221637,0.232181428,0.41818005,0.30097923,0.369760082,0.086710069,0.736500646,0.135469228,0.594318083,0.410643532,0.285253158,0.137444669,-0.006037981,0.481896493,0.631278741,0.092648812,0.558373789,0.585902418,0.334676529
ICICIBANK,0.496329023,0.831920596,0.853108332,-0.211488342,0.819640692,0.920296036,0.489161881,-0.302548116,0.908998699,0.966673626,0.837609958,0.822625807,0.875218352,0.808845756,0.811025796,0.897491488,0.955913902,0.744021181,0.617597244,0.482196073,0.855330999,0.873723332,0.442539215,1,-0.559799198,0.752890635,0.588475571,0.921676478,0.170005295,0.689192553,0.93541741,0.703914622,0.095322534,0.929571464,0.788699589,0.926041462,0.611805608,0.793786942,0.866854189,0.933821848,0.916250199,0.53665974,0.666411673,0.672481243,0.781504563,0.886507777,-0.03034473,0.947748577,0.885231971,0.84579577
INDUSINDBK,0.141291115,-0.195635123,-0.447425457,0.441990872,-0.205323701,-0.348109106,-0.154909179,0.290751563,-0.415287879,-0.54178328,-0.280625068,-0.280854567,-0.350309097,-0.191342253,-0.325339462,-0.455100394,-0.449165503,-0.478368391,-0.404551761,-0.440421084,-0.206608699,-0.355303261,-0.139255654,-0.559799198,1,-0.463750061,-0.35502622,-0.474406688,0.204847784,-0.015783016,-0.530739369,-0.146438217,0.637549015,-0.38342146,-0.224250616,-0.390738278,0.109340947,-0.3112505,-0.376949114,-0.456520387,-0.512921855,0.189329351,-0.007669223,-0.066145839,-0.289134221,-0.637399035,0.558337575,-0.554516323,-0.316750603,-0.453052743
INFY,0.333241523,0.60450654,0.843184326,0.106584417,0.540265934,0.72627912,0.594744822,-0.226029828,0.618484459,0.765812761,0.666843934,0.808977118,0.756670773,0.614582462,0.821554322,0.577518171,0.741712532,0.911885745,0.537633499,0.711427606,0.66296092,0.593837437,0.700211367,0.752890635,-0.463750061,1,0.75528285,0.698965858,0.403819932,0.490218327,0.676932056,0.310270673,0.084612852,0.750323723,0.649910442,0.676504093,0.40757732,0.88081598,0.503817297,0.849351209,0.825532245,0.541316228,0.470475654,0.205790959,0.864139593,0.920674543,0.192592201,0.823632858,0.796839008,0.828120543
ITC,0.011337919,0.33437199,0.530459273,0.4608872,0.464063994,0.520786103,0.705144027,0.202960578,0.476032456,0.623880545,0.357169753,0.78598944,0.473804081,0.367183725,0.553479512,0.544744476,0.611981306,0.55752822,0.716868678,0.830369671,0.428718833,0.558062976,0.860710263,0.588475571,-0.35502622,0.75528285,1,0.625417607,0.494259408,0.312216971,0.559995831,0.205606947,0.064856929,0.557555096,0.389809138,0.454304499,0.082413613,0.785546889,0.241965338,0.684981138,0.562237584,0.273792821,0.20347986,0.046823906,0.563023301,0.756250672,0.086942432,0.670534447,0.632236099,0.421018203
JSWSTEEL,0.500641765,0.76775078,0.800106177,-0.060194283,0.811116862,0.883736704,0.58552994,-0.15567042,0.873037131,0.926815377,0.773756507,0.840913615,0.806524007,0.759202267,0.713151025,0.900316302,0.904123219,0.68514249,0.719489182,0.498023104,0.823898393,0.937846304,0.491783236,0.921676478,-0.474406688,0.698965858,0.625417607,1,0.293614352,0.670696078,0.922754381,0.650320117,0.127693112,0.905188084,0.680428039,0.862754051,0.518113112,0.741767337,0.782661153,0.894982428,0.843468524,0.45175617,0.564040259,0.685716731,0.686431124,0.858026629,0.025733946,0.922285849,0.877394065,0.764597377
KOTAKBANK,0.102311259,0.100026739,0.2347336,0.575571426,0.275503117,0.17060042,0.533760472,0.378103121,0.113773167,0.17006239,0.028322938,0.446492841,0.109192666,0.073253518,0.197227436,0.096989182,0.19974341,0.324157339,0.537957929,0.501864063,0.185067113,0.225822441,0.575759665,0.170005295,0.204847784,0.403819932,0.494259408,0.293614352,1,0.255174817,0.138537313,-0.090344131,0.39787348,0.186022077,0.035872942,0.073038203,0.074378582,0.383502618,-0.09503467,0.284805858,0.141276608,0.199354376,-0.015144515,-0.075619608,0.214349107,0.298784328,0.38587831,0.208677671,0.38982708,0.226876508
LT,0.811118074,0.854855717,0.712629124,-0.140669429,0.653209135,0.746204717,0.278012876,-0.325635745,0.729187691,0.655301874,0.767687266,0.584367374,0.735837219,0.765980175,0.64700243,0.648590842,0.676804941,0.580959575,0.338492547,0.175702402,0.770671832,0.674372498,0.14653055,0.689192553,-0.015783016,0.490218327,0.312216971,0.670696078,0.255174817,1,0.604854498,0.60837599,0.435826204,0.788207426,0.742145311,0.741544766,0.791493033,0.564155788,0.740839799,0.637993146,0.685134337,0.756794319,0.780123971,0.712208253,0.70167877,0.522417787,0.462555589,0.599817182,0.746006406,0.704511892
M&M,0.458802115,0.802966502,0.758609781,-0.212399036,0.822275058,0.893160261,0.400052822,-0.258044736,0.94932351,0.952157014,0.79955703,0.830313513,0.856505849,0.815949229,0.756764622,0.9324235,0.944944446,0.610078318,0.622529792,0.426239435,0.866277164,0.907417299,0.488348351,0.93541741,-0.530739369,0.676932056,0.559995831,0.922754381,0.138537313,0.604854498,1,0.751929708,0.074300003,0.892451529,0.76248931,0.926369087,0.566659493,0.732069464,0.861852226,0.894278939,0.841184597,0.478365608,0.637988848,0.73561981,0.689338738,0.845474804,-0.156013621,0.929331671,0.870364115,0.734346433
MARUTI,0.576768942,0.783546204,0.563828092,-0.299957022,0.596535442,0.793629742,0.201553836,-0.30729597,0.770721866,0.726138751,0.805426863,0.550923363,0.741199759,0.830448927,0.66454218,0.76250247,0.758344778,0.306954686,0.145320203,0.075543231,0.759388147,0.708323513,0.143221637,0.703914622,-0.146438217,0.310270673,0.205606947,0.650320117,-0.090344131,0.60837599,0.751929708,1,0.318872918,0.752808768,0.806652079,0.815543945,0.740895495,0.552587494,0.841188988,0.642251852,0.682470604,0.603209603,0.8213185,0.875749945,0.573662718,0.423016426,0.020748644,0.661379684,0.588169422,0.478499138
NESTLEIND,0.484727492,0.357642916,0.167141077,0.332442266,0.32696593,0.29611075,0.198499746,0.026872088,0.159640531,0.083065089,0.299635509,0.329374878,0.279261473,0.366522508,0.298292812,0.104985535,0.183711852,0.079133734,-0.021093492,-0.093311403,0.383462752,0.185538797,0.232181428,0.095322534,0.637549015,0.084612852,0.064856929,0.127693112,0.39787348,0.435826204,0.074300003,0.318872918,1,0.244335963,0.32891149,0.23578024,0.558056391,0.283301999,0.176412304,0.167348186,0.1345452,0.656224323,0.467614819,0.346898788,0.289927073,-0.058405774,0.64440605,0.081062924,0.321907048,0.175822267
NTPC,0.684552598,0.927943986,0.901042715,-0.14794419,0.769117018,0.956263205,0.459746658,-0.400142259,0.905960804,0.940136116,0.940655514,0.845396161,0.922394819,0.925878076,0.871829443,0.880530769,0.92651007,0.758675997,0.504283139,0.414509904,0.913163997,0.890520022,0.41818005,0.929571464,-0.38342146,0.750323723,0.557555096,0.905188084,0.186022077,0.788207426,0.892451529,0.752808768,0.244335963,1,0.888829556,0.957633861,0.738417146,0.818131482,0.883668782,0.923251155,0.94143258,0.716162266,0.804503938,0.739565473,0.845443597,0.827516844,0.164337491,0.925323173,0.901947341,0.838702154
